Survived,Pclass,Sex,SibSp,Parch,Fare,Embarked
1,1,20,0,0,146.5208,10
0,3,10,0,0,7.75,20
0,3,10,0,1,8.4042,30
1,3,20,0,0,7.75,20
0,2,20,0,0,13,30
0,3,10,0,0,9.5,30
0,3,10,8,2,69.55,30
0,3,10,0,0,6.4958,30
0,3,10,0,0,7.225,10
1,3,10,0,0,8.05,30
0,3,20,0,1,10.4625,30
0,3,10,1,0,15.85,30
1,3,10,0,0,18.7875,10
1,3,20,0,0,7.75,20
1,1,10,0,0,31,10
0,3,10,0,0,7.05,30
1,2,20,0,0,21,30
0,3,10,0,0,7.25,30
0,2,10,0,0,13,30
0,3,10,1,0,7.75,20
1,1,20,1,0,113.275,10
1,3,20,0,0,7.925,30
0,2,10,1,0,27,30
1,1,20,0,0,76.2917,10
0,2,10,0,0,10.5,30
1,3,10,0,0,8.05,30
0,2,10,0,0,13,30
0,3,10,0,0,8.05,30
0,3,10,0,0,7.8958,30
1,1,10,1,0,90,30
0,3,10,0,0,9.35,30
1,2,10,0,0,10.5,30
0,3,10,0,0,7.25,30
0,2,10,0,0,13,30
0,3,20,3,1,25.4667,30
1,1,20,1,0,83.475,30
0,3,10,0,0,7.775,30
0,2,10,0,0,13.5,30
1,3,20,4,2,31.3875,30
0,2,10,0,0,10.5,30
0,3,20,0,0,7.55,30
0,2,10,1,0,26,30
1,2,20,0,2,26.25,30
0,2,10,0,0,10.5,30
0,2,10,0,0,12.275,30
0,3,20,1,0,14.4542,10
1,3,20,1,0,15.5,20
0,2,10,0,0,10.5,30
0,3,10,0,0,7.125,30
0,3,10,0,0,7.225,10
0,1,10,2,0,90,20
0,3,20,0,0,7.775,30
1,2,20,0,2,14.5,30
1,1,10,1,1,52.5542,30
0,2,10,1,0,26,30
0,3,10,0,0,7.25,30
0,3,20,1,1,10.4625,30
0,1,10,0,0,26.55,30
0,3,10,1,0,16.1,30
0,3,20,0,2,20.2125,30
1,3,20,0,2,15.2458,10
1,1,20,0,0,79.2,10
1,1,20,0,0,86.5,30
1,1,20,0,0,512.3292,10
1,2,20,0,1,26,30
0,3,10,0,0,7.75,20
1,3,10,4,2,31.3875,30
0,1,10,1,1,79.65,30
0,1,10,0,0,0,30
0,3,20,0,0,7.75,20
0,2,10,0,0,10.5,30
0,3,10,4,1,39.6875,30
1,3,10,1,0,7.775,30
1,1,20,0,1,153.4625,30
1,1,20,0,0,135.6333,30
0,1,10,0,0,31,30
1,3,10,0,0,0,30
1,2,20,0,1,19.5,30
0,1,10,0,1,29.7,10
1,3,20,0,0,7.75,20
1,1,20,1,0,77.9583,30
0,3,20,0,0,7.75,30
0,2,10,0,0,0,30
0,3,10,4,1,29.125,20
1,3,20,1,1,20.25,30
0,3,10,0,0,7.75,20
0,3,10,0,0,7.8542,30
0,3,10,0,0,9.5,30
1,3,10,0,0,8.05,30
0,1,10,0,0,26,30
0,3,10,0,0,8.6625,10
1,3,10,0,0,9.5,30
0,3,10,0,0,7.8958,30
1,2,10,0,0,13,30
1,3,20,0,0,7.75,20
1,1,20,0,0,78.85,30
1,1,20,1,0,91.0792,10
0,2,10,0,0,12.875,10
0,3,20,0,0,8.85,30
0,3,10,0,0,7.8958,30
0,1,10,0,0,27.7208,10
0,3,10,0,0,7.2292,10
0,1,20,1,2,151.55,30
1,1,10,0,0,30.5,30
1,1,20,0,1,247.5208,10
1,3,20,0,0,7.75,20
1,3,10,2,0,23.25,20
0,3,10,0,0,0,30
1,2,20,0,0,12.35,20
0,3,10,0,0,8.05,30
1,1,10,1,2,151.55,30
1,1,20,0,0,110.8833,10
1,1,20,1,0,108.9,10
0,2,10,1,0,24,10
1,1,20,0,0,56.9292,10
1,1,20,0,0,83.1583,10
1,1,20,2,2,262.375,10
0,2,20,1,1,26,30
0,3,10,0,0,7.8958,30
0,2,10,1,1,26.25,30
1,3,20,0,0,7.8542,30
1,2,20,1,0,26,30
0,2,10,0,0,14,30
1,1,20,0,2,164.8667,30
1,1,20,1,1,134.5,10
0,3,10,0,0,7.25,30
0,3,10,0,0,7.8958,30
1,2,20,0,0,12.35,20
1,2,20,1,1,29,30
0,3,10,8,2,69.55,30
1,1,20,0,0,135.6333,10
0,3,10,0,0,6.2375,30
1,2,20,0,0,13,30
1,3,20,1,1,20.525,30
1,1,20,0,1,57.9792,10
1,3,20,2,0,23.25,20
0,1,10,0,0,28.5,30
0,1,10,0,1,153.4625,30
0,3,10,2,0,18,30
1,1,20,1,0,133.65,30
0,3,10,0,0,7.8958,30
0,1,10,1,0,66.6,30
1,1,20,0,0,134.5,10
1,3,10,0,0,8.05,30
0,1,10,0,0,35.5,30
1,2,10,1,1,26,30
1,1,20,3,2,263,30
0,2,10,0,0,13,30
0,2,10,0,0,13,30
0,2,10,0,0,13,30
1,2,20,0,0,13,30
1,2,20,0,0,13,30
1,3,20,1,0,16.1,30
1,3,10,1,1,15.9,30
0,3,10,0,0,8.6625,30
0,3,10,0,0,9.225,30
0,1,10,0,0,35,30
0,3,10,1,1,7.2292,10
0,3,10,1,0,17.8,30
0,3,10,0,0,7.225,10
0,3,10,0,0,9.5,30
1,1,20,0,1,55,30
0,2,20,0,0,13,30
1,3,20,0,0,7.8792,20
1,3,20,0,0,7.8792,20
0,3,10,1,4,27.9,30
0,2,10,1,0,27.7208,10
0,3,20,0,1,14.4542,10
0,3,10,0,0,7.05,30
0,3,10,1,0,15.5,20
0,3,10,0,0,7.25,30
1,1,20,1,0,75.25,10
1,3,20,0,0,7.2292,10
1,3,20,0,0,7.75,20
1,1,20,0,0,69.3,10
1,1,10,1,0,55.4417,10
0,3,10,1,0,6.4958,30
0,3,10,0,0,8.05,30
0,1,10,0,0,135.6333,10
0,3,20,3,1,21.075,30
1,1,20,1,0,82.1708,10
1,3,20,0,0,7.25,30
0,1,10,0,2,211.5,10
0,3,10,0,0,4.0125,10
0,3,10,0,0,7.775,30
1,1,20,0,0,227.525,10
1,3,20,0,2,15.7417,10
0,3,10,0,0,7.925,30
1,1,20,1,0,52,30
0,3,10,0,0,7.8958,30
0,2,10,0,0,73.5,30
0,3,10,5,2,46.9,30
1,2,20,0,0,13,30
0,3,10,0,0,7.7292,20
1,2,20,0,0,12,10
1,1,10,1,2,120,30
1,3,10,0,0,7.7958,30
0,3,10,2,0,7.925,30
1,1,20,1,0,113.275,10
1,3,20,0,2,16.7,30
0,3,10,0,0,7.7958,30
0,3,20,0,0,7.8542,30
0,2,10,0,0,26,30
0,2,10,0,0,10.5,30
1,2,20,0,0,12.65,30
1,3,10,0,0,7.925,30
0,3,10,0,0,8.05,30
0,3,20,1,0,9.825,30
0,3,10,1,0,15.85,30
0,3,20,0,0,8.6625,30
0,2,10,1,0,21,30
0,3,10,0,0,7.75,30
1,2,10,1,1,18.75,30
0,3,10,0,0,7.775,30
0,3,20,3,1,25.4667,30
0,3,10,0,0,7.8958,30
0,3,10,0,0,6.8583,20
1,1,20,1,0,90,20
0,2,10,0,0,0,30
1,3,10,0,0,7.925,30
0,3,20,0,0,8.05,30
1,2,20,1,1,32.5,30
1,2,20,0,2,13,30
0,2,10,0,0,13,30
0,3,20,0,2,24.15,30
0,3,10,0,0,7.8958,10
0,3,10,0,0,7.7333,20
0,3,10,0,0,7.875,30
0,3,20,1,1,14.4,30
0,3,10,1,1,20.2125,30
0,3,10,0,0,7.25,30
1,2,20,1,0,26,30
1,2,20,0,0,26,30
0,3,10,0,0,7.75,20
1,3,10,0,0,8.05,30
1,1,10,0,0,26.55,30
1,3,20,1,0,16.1,30
1,2,20,1,0,26,30
0,3,10,0,0,7.125,30
0,1,10,1,0,55.9,30
1,1,20,1,2,120,30
0,3,20,2,2,34.375,30
1,2,20,2,3,18.75,30
0,1,10,1,4,263,30
0,2,10,0,0,10.5,30
1,2,20,1,1,26.25,30
0,3,10,0,0,9.5,30
0,3,10,1,0,7.775,30
1,2,20,0,0,13,30
1,3,10,0,0,8.1125,30
1,1,10,0,2,81.8583,30
1,2,20,0,1,19.5,30
1,1,10,0,0,26.55,30
1,3,20,2,1,19.2583,10
1,1,10,0,0,30.5,30
0,2,10,1,2,27.75,30
0,3,10,1,0,19.9667,30
0,1,10,0,0,27.75,10
1,1,10,1,0,89.1042,10
0,3,10,0,0,8.05,30
1,3,10,0,0,7.8958,10
0,1,10,0,0,26.55,30
1,1,20,1,0,51.8625,30
1,2,20,0,0,10.5,30
0,3,10,0,0,7.75,20
1,1,10,0,0,26.55,30
0,3,10,0,0,8.05,30
0,1,10,0,0,38.5,30
0,2,10,0,0,13,30
0,3,10,0,0,8.05,30
0,3,10,0,0,7.05,30
0,2,10,0,0,0,30
0,1,10,0,0,26.55,30
0,3,10,0,0,7.725,20
1,3,20,2,1,19.2583,10
0,3,10,0,0,7.25,30
0,3,10,0,0,8.6625,30
1,2,20,1,2,27.75,30
1,2,20,0,0,13.7917,10
0,3,20,0,0,9.8375,30
0,1,10,0,0,52,30
0,2,10,1,0,21,30
0,3,10,1,0,7.0458,30
0,3,10,0,0,7.5208,30
1,3,20,0,1,12.2875,30
0,3,10,5,2,46.9,30
0,2,10,0,0,0,30
0,3,10,0,0,8.05,30
1,3,20,0,0,9.5875,30
1,1,10,1,0,91.0792,10
0,3,20,3,1,25.4667,30
1,1,20,1,0,90,30
0,1,10,0,0,29.7,10
0,3,10,0,0,8.05,30
1,3,10,1,1,15.9,30
0,3,10,1,0,19.9667,30
0,3,10,0,0,7.25,30
0,1,10,0,0,30.5,30
0,1,10,0,0,49.5042,10
0,3,10,0,0,8.05,30
0,3,10,0,0,14.4583,10
1,1,20,1,0,78.2667,10
0,3,10,0,0,15.1,30
0,1,20,1,2,151.55,30
0,3,10,0,0,7.7958,30
0,3,10,0,0,8.6625,30
0,3,20,0,0,7.75,20
0,3,20,0,0,7.6292,20
0,3,20,0,0,9.5875,30
1,1,20,0,0,86.5,30
0,1,10,1,0,108.9,10
1,2,20,0,2,26,30
1,1,10,0,0,26.55,30
0,3,10,0,0,22.525,30
1,3,10,0,0,56.4958,30
1,3,10,0,0,7.75,20
0,3,10,0,0,8.05,30
1,1,10,0,0,26.2875,30
1,1,20,1,0,59.4,10
0,3,10,0,0,7.4958,30
0,1,10,0,0,34.0208,30
1,2,20,0,0,10.5,30
0,3,10,0,0,24.15,20
1,2,20,1,0,26,30
0,3,10,0,0,7.8958,30
1,1,20,0,0,93.5,30
0,3,10,0,0,7.8958,30
0,3,10,0,0,7.225,10
1,1,20,0,1,57.9792,10
0,3,10,0,0,7.2292,10
0,3,10,0,0,7.75,20
1,2,20,0,0,10.5,30
0,1,10,0,0,221.7792,30
0,3,10,0,0,7.925,30
0,2,10,2,1,11.5,30
1,2,20,1,1,26,30
0,3,10,0,0,7.2292,10
0,3,10,1,1,7.2292,10
1,3,20,0,2,22.3583,10
0,3,20,0,0,8.6625,30
1,2,20,0,2,26.25,30
0,1,10,0,0,26.55,30
1,1,20,0,0,106.425,10
0,3,10,0,0,14.5,30
1,1,20,0,2,49.5,10
1,1,20,0,2,71,30
0,3,20,4,2,31.275,30
0,3,20,4,2,31.275,30
1,2,10,1,0,26,30
0,1,10,1,0,106.425,10
0,1,10,0,0,26,30
1,2,20,1,0,26,30
1,2,10,0,0,13.8625,10
0,3,10,1,1,20.525,30
1,2,10,1,1,36.75,30
1,1,10,0,2,110.8833,10
0,2,10,0,0,26,30
0,3,10,0,0,7.8292,20
1,3,10,0,0,7.225,10
1,3,20,0,0,7.775,30
0,1,10,0,0,26.55,30
1,1,20,1,0,39.6,10
0,1,10,0,0,227.525,10
1,1,20,1,1,79.65,30
1,3,20,1,0,17.4,30
0,3,10,0,0,7.75,20
0,3,10,0,0,7.8958,30
0,2,10,0,0,13.5,30
0,3,10,0,0,8.05,30
0,3,20,0,0,8.05,30
0,3,10,2,0,24.15,30
0,3,10,0,0,7.8958,30
0,3,20,0,4,21.075,30
0,3,10,0,0,7.2292,10
1,3,10,0,0,7.8542,30
1,2,10,0,0,10.5,30
1,1,20,2,0,51.4792,30
1,1,10,0,0,26.3875,30
1,3,20,0,0,7.75,20
0,3,10,0,0,8.05,30
0,3,10,0,0,14.5,30
1,2,20,0,0,13,30
1,1,20,1,0,55.9,30
0,3,20,1,0,14.4583,10
1,3,10,0,0,7.925,30
1,2,20,1,1,30,30
1,1,20,1,1,110.8833,10
0,2,10,0,0,26,30
0,1,10,0,0,40.125,10
0,3,10,0,0,8.7125,10
1,1,20,0,2,79.65,30
0,2,10,0,0,15,30
1,1,10,1,1,79.2,10
0,3,10,0,0,8.05,30
0,3,10,0,0,8.05,30
0,3,10,0,0,7.125,30
1,1,20,1,0,78.2667,10
0,3,10,0,0,7.25,30
0,3,20,0,2,7.75,20
0,2,10,1,0,26,30
0,3,10,1,1,24.15,30
1,2,20,0,0,33,30
0,3,10,0,0,0,30
0,3,10,0,0,7.225,10
1,1,10,1,0,56.9292,10
1,2,20,2,1,27,30
0,3,10,0,0,7.8958,30
0,1,10,0,0,42.4,30
0,3,10,0,0,8.05,30
1,1,10,0,0,26.55,10
0,3,10,1,0,15.55,30
0,3,10,0,0,7.8958,30
1,1,10,0,0,30.5,30
1,2,20,1,2,41.5792,10
1,1,20,0,0,153.4625,30
0,3,20,1,5,31.275,30
0,3,10,0,0,7.05,30
1,3,20,1,0,15.5,20
0,3,10,0,0,7.75,20
0,3,10,0,0,8.05,30
1,2,20,1,2,65,30
0,3,10,1,1,14.4,30
0,3,20,1,0,16.1,30
1,2,20,2,1,39,30
0,2,10,0,0,10.5,30
0,3,10,1,0,14.4542,10
1,1,10,1,0,52.5542,30
1,3,10,1,1,15.7417,10
0,3,10,0,0,7.8542,30
0,3,10,0,0,16.1,30
0,1,10,0,0,32.3208,30
0,2,10,0,0,12.35,20
1,1,20,0,0,77.9583,30
0,3,10,0,0,7.8958,30
0,3,10,0,0,7.7333,20
1,1,10,0,0,30,30
0,3,10,0,0,7.0542,30
1,1,10,0,0,30.5,10
0,1,10,0,0,0,30
0,3,20,3,2,27.9,30
1,2,20,0,0,13,30
0,3,10,0,0,7.925,30
0,2,10,1,1,26.25,30
0,3,20,0,5,39.6875,30
0,3,10,1,0,16.1,30
0,3,10,0,0,7.8542,30
1,1,20,0,0,69.3,10
0,3,20,3,2,27.9,30
1,3,10,0,0,56.4958,30
1,3,20,2,1,19.2583,10
1,1,10,1,0,76.7292,10
0,3,10,0,0,7.8958,30
1,1,10,0,0,35.5,10
0,3,10,0,0,7.55,30
1,3,20,0,0,7.55,30
0,3,10,0,0,7.8958,30
1,2,20,0,1,23,30
0,3,10,0,0,8.4333,30
1,3,20,0,0,7.8292,20
0,3,20,0,0,6.75,20
0,2,10,2,0,73.5,30
0,3,10,0,0,7.8958,30
0,3,20,1,1,15.5,20
0,2,10,0,0,13,30
0,1,10,0,2,113.275,10
1,1,10,2,0,133.65,30
0,3,10,0,0,7.225,10
0,1,10,0,0,25.5875,30
0,3,10,0,0,7.4958,30
1,3,10,1,0,7.925,30
0,2,10,2,0,73.5,30
0,2,10,0,0,13,30
0,3,10,0,0,7.775,30
0,3,10,0,0,8.05,30
1,1,20,1,0,52,30
1,2,20,1,1,39,30
0,1,10,1,0,52,30
0,2,10,0,0,10.5,30
1,2,10,0,0,13,30
0,2,10,0,0,0,30
0,3,10,0,0,7.775,30
0,3,10,0,0,8.05,30
1,3,20,0,0,9.8417,30
0,3,20,1,6,46.9,30
1,1,10,0,1,512.3292,10
0,3,20,0,0,8.1375,20
1,1,10,0,0,76.7292,10
0,3,10,0,0,9.225,30
0,3,10,5,2,46.9,30
0,2,10,1,1,39,30
0,2,10,1,2,41.5792,10
0,3,10,4,1,39.6875,30
0,3,10,0,0,10.1708,30
0,3,10,0,0,7.7958,30
1,1,20,0,1,211.3375,30
1,1,10,1,0,57,30
1,3,20,0,1,13.4167,10
1,3,10,0,0,56.4958,30
0,3,10,0,0,7.225,10
0,1,10,0,0,26.55,30
0,2,10,0,0,13.5,30
0,3,10,0,0,8.05,30
1,3,20,0,0,7.7333,20
0,1,10,1,1,110.8833,10
0,3,10,0,0,7.65,30
1,1,20,1,0,227.525,10
1,1,10,0,0,26.2875,30
0,3,20,0,1,14.4542,10
0,3,10,0,0,7.7417,20
0,3,10,1,0,7.8542,30
0,2,10,0,0,26,30
1,2,20,0,0,13.5,30
1,1,10,0,0,26.2875,30
1,1,20,0,0,151.55,30
1,3,10,1,1,15.2458,10
1,1,20,0,0,49.5042,10
0,1,10,0,0,26.55,30
1,1,10,1,0,52,30
0,3,10,0,0,9.4833,30
0,2,10,0,0,13,30
0,3,10,0,0,7.65,30
1,1,20,0,0,227.525,10
1,2,20,0,0,10.5,30
0,3,10,0,0,15.5,20
0,3,10,0,0,7.775,30
1,2,20,0,1,33,30
0,3,10,1,0,7.0542,30
0,2,10,0,0,13,30
0,2,10,0,0,13,30
1,1,10,1,0,53.1,30
0,3,10,0,0,8.6625,30
1,2,20,3,0,21,30
1,3,20,0,0,7.7375,20
0,2,10,1,0,26,30
0,3,20,1,0,7.925,30
1,1,20,0,0,211.3375,30
0,3,10,0,0,18.7875,10
0,2,10,0,0,0,30
0,2,10,0,0,13,30
0,2,10,0,0,13,30
0,3,10,0,0,16.1,30
0,3,20,1,3,34.375,30
1,1,10,0,0,512.3292,10
0,3,10,0,0,7.8958,30
0,3,10,0,0,7.8958,30
1,1,10,0,0,30,30
0,1,10,1,0,78.85,30
1,1,20,2,2,262.375,10
0,3,10,1,0,16.1,30
1,3,10,0,0,7.925,30
0,1,10,1,1,71,30
0,3,10,1,1,20.25,30
1,2,20,0,0,13,30
0,1,10,1,0,53.1,30
0,3,10,0,0,7.75,20
1,2,20,1,1,23,30
1,3,10,0,1,12.475,30
0,3,10,0,0,9.5,30
0,3,10,0,0,7.8958,30
1,2,20,1,2,65,30
1,2,10,1,1,14.5,30
0,3,10,0,0,7.7958,30
0,2,10,0,0,11.5,30
0,3,10,0,0,8.05,30
1,1,20,0,0,86.5,30
0,3,10,0,0,14.5,30
0,3,10,0,0,7.125,30
1,3,10,0,0,7.2292,10
1,1,20,1,2,120,30
0,3,10,0,0,7.775,30
1,1,20,1,0,77.9583,30
0,1,10,0,0,39.6,10
0,3,20,0,0,7.75,20
0,3,10,1,0,24.15,20
0,3,10,0,0,8.3625,30
0,3,10,0,0,9.5,30
0,3,10,0,0,7.8542,30
0,2,20,0,0,10.5,30
0,3,10,0,0,7.225,10
1,2,20,1,3,23,30
0,3,10,0,0,7.75,30
0,3,10,0,0,7.75,20
1,3,20,0,0,12.475,30
0,3,10,0,0,7.7375,20
1,1,20,0,1,211.3375,30
1,3,20,0,0,7.2292,10
1,1,20,1,0,57,30
0,1,10,0,0,30,30
0,3,10,1,2,23.45,30
0,3,10,0,0,7.05,30
0,3,10,0,0,7.25,30
1,3,20,0,0,7.4958,30
0,3,10,4,1,29.125,20
1,3,10,1,2,20.575,30
0,1,10,0,0,79.2,10
0,3,10,0,0,7.75,20
0,2,10,0,0,26,30
0,3,20,8,2,69.55,30
0,1,10,0,0,30.6958,10
0,3,10,0,0,7.8958,30
0,2,10,0,0,13,30
1,1,20,0,0,25.9292,30
1,3,20,0,0,8.6833,30
0,3,10,0,0,7.2292,10
0,3,20,1,1,24.15,30
0,2,10,0,0,13,30
1,2,20,1,1,26.25,30
1,1,10,1,2,120,30
1,3,10,0,1,8.5167,10
1,3,10,0,0,6.975,30
0,3,10,0,0,7.775,30
0,1,10,0,0,0,30
0,3,20,0,0,7.775,30
0,2,10,0,0,13,30
1,1,20,1,0,53.1,30
0,3,10,0,0,7.8875,30
0,3,10,0,0,24.15,30
0,2,10,0,0,10.5,30
0,3,20,4,2,31.275,30
0,3,10,0,0,8.05,30
0,1,10,0,0,0,30
0,3,20,0,0,7.925,30
0,2,10,1,1,37.0042,10
0,3,10,0,0,6.45,30
0,3,10,3,2,27.9,30
1,1,20,1,1,93.5,30
1,3,10,0,0,8.6625,30
0,1,10,0,0,0,30
1,3,20,0,1,12.475,30
0,3,10,4,1,39.6875,30
0,3,10,0,0,6.95,20
0,3,10,0,0,56.4958,30
1,2,10,0,2,37.0042,10
1,3,10,0,0,7.75,20
1,1,20,0,0,80,
1,3,20,1,0,14.4542,10
1,2,10,1,1,18.75,30
0,3,10,0,0,7.2292,10
0,3,10,0,0,7.8542,30
0,3,10,0,0,8.3,30
1,1,20,1,1,83.1583,10
0,3,10,0,0,8.6625,30
0,3,10,0,0,8.05,30
1,3,10,0,0,56.4958,30
1,1,10,0,0,29.7,10
0,3,10,0,0,7.925,30
0,2,10,0,0,10.5,30
1,1,20,0,0,31,10
0,3,10,0,0,6.4375,10
0,3,10,0,0,8.6625,30
0,3,10,0,0,7.55,30
0,3,10,8,2,69.55,30
0,3,10,0,0,7.8958,10
0,2,10,0,1,33,30
1,1,20,1,0,89.1042,10
0,3,10,4,2,31.275,30
0,3,10,0,0,7.775,30
0,3,20,1,1,15.2458,10
1,1,20,0,1,39.4,30
0,2,20,1,0,26,30
1,3,20,0,1,9.35,30
1,1,20,1,1,164.8667,30
1,1,10,0,0,26.55,30
1,3,20,0,3,19.2583,10
0,3,10,0,0,7.2292,10
0,3,10,2,0,14.1083,30
0,2,10,1,0,11.5,30
1,1,20,0,0,25.9292,30
0,3,20,8,2,69.55,30
0,2,10,0,0,13,30
1,2,20,0,0,13,30
1,2,20,1,0,13.8583,10
0,1,10,0,0,50.4958,30
0,3,10,0,0,9.5,30
1,3,10,1,1,11.1333,30
0,3,10,0,0,7.8958,30
1,1,20,1,1,52.5542,30
